time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
2744	-0.223085	0.033741	0.622881	26.839	-1.197	5.451	-0.028164	0.124997	-0.267502
2745	-0.203781	-0.002545	0.534925	24.303	-1.402	5.394	-0.003861	0.123595	-0.262108
2746	-0.180261	-0.040889	0.437078	31.473	-4.823	11.746	0.027612	0.118772	-0.250362
2747	-0.158998	-0.071495	0.354298	25.45	-5.301	9.181	0.053062	0.113471	-0.241181
2748	-0.108286	-0.057469	0.26919	27.175	-7.281	5.579	0.080237	0.10619	-0.235602
2749	-0.0852	-0.072839	0.187595	23.504	-5.7	3.117	0.103741	0.10049	-0.232485
2750	-0.039012	-0.021031	0.11026	22.341	-6.856	3.544	0.126082	0.093634	-0.228941
2751	0.002116	-0.046878	0.041162	28.473	-8.755	10.03	0.154555	0.084879	-0.218911
2752	0.010937	-0.012633	0.05163	26.731	-8.042	11.244	0.181286	0.076837	-0.207667
3620	-0.033933	0.007571	0.049099	-17.611	-0.782	-7.136	-0.117809	0.094515	-0.231206
3621	-0.051261	0.018508	0.08846	-19.911	-0.885	-8.671	-0.13772	0.09363	-0.239877
3622	-0.069587	0.032793	0.130331	-19.789	-0.879	-7.574	-0.157509	0.092751	-0.247451
3623	-0.091144	0.042976	0.179399	-19.638	-0.873	-4.239	-0.177147	0.091878	-0.25169
3624	-0.115588	0.053514	0.235193	-20.149	-0.896	-1.24	-0.197296	0.090982	-0.25293
3625	-0.142774	0.075463	0.297122	-20.012	-0.889	-2.495	-0.217308	0.090093	-0.255425
3626	-0.163568	0.094593	0.344563	-22.555	-1.828	-4.716	-0.239863	0.088265	-0.260141
3627	-0.187116	0.117981	0.398179	-19.08	-0.84	-6.84	-0.258943	0.087425	-0.266981
3628	-0.211056	0.128833	0.451483	-19.121	-1.652	-6.622	-0.278064	0.085773	-0.273603
3629	-0.195002	0.199623	0.521006	-15.069	-1.461	-5.049	-0.293133	0.084312	-0.278652
3630	-0.214574	0.207254	0.577068	-20.22	-0.874	-7.237	-0.313353	0.083438	-0.285889
3631	-0.233959	0.218748	0.632764	-15.453	-0.668	-5.51	-0.328806	0.08277	-0.291399
3632	-0.253384	0.237286	0.695522	-10.394	-0.449	-3.14	-0.3392	0.082321	-0.294539
3633	-0.271933	0.261504	0.748614	-13.16	-1.348	-3.887	-0.35236	0.080973	-0.298426
3634	-0.288095	0.28509	0.801819	-12.526	-0.536	-3.588	-0.364886	0.080437	-0.302014
3635	-0.30036	0.303124	0.84375	-13.251	-0.567	-3.688	-0.378137	0.07987	-0.305702
3636	-0.320071	0.328765	0.900014	-13.978	-0.598	-3.77	-0.392115	0.079272	-0.309472
