time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
1516	-9.001956	5.640265	17.549881	8.338	-0.812	-2.364	-0.919388	-0.129014	-0.018506
1517	-8.860982	5.663617	17.311943	12.602	-1.227	-1.686	-0.906786	-0.130241	-0.020192
1518	-8.662614	5.68823	16.970228	18.009	-1.753	-1.818	-0.888777	-0.131994	-0.02201
1519	-8.43266	5.718256	16.582264	20.55	-2.001	-2.37	-0.868227	-0.133995	-0.02438
1520	-8.13164	5.741838	16.063789	27.325	-2.66	-2.108	-0.840902	-0.136655	-0.026488
1521	-7.79819	5.707429	15.501585	29.784	-2.899	0.266	-0.811118	-0.139554	-0.026222
1522	-7.437223	5.642712	14.882753	32.652	-3.179	1.793	-0.778466	-0.142733	-0.024429
1523	-7.102642	5.568174	14.319028	29.869	-2.908	2.166	-0.748597	-0.145641	-0.022263
1524	-6.732519	5.454377	13.686506	33.402	-3.251	4.029	-0.715195	-0.148892	-0.018234
1525	-6.314864	5.24915	12.983271	37.267	-3.628	8.038	-0.677928	-0.15252	-0.010196
1526	-5.835778	4.946108	12.171308	42.967	-4.183	12.411	-0.634961	-0.156703	0.002215
1527	-5.388458	4.642652	11.418451	39.9	-3.884	12.594	-0.595061	-0.160587	0.014809
1528	-4.918174	4.316604	10.673384	39.457	-5.243	13.538	-0.555604	-0.16583	0.028347
1529	-4.325611	3.84943	9.703411	51.41	-5.77	19.869	-0.504194	-0.1716	0.048216
1530	-3.927438	3.508408	9.034526	35.458	-3.496	14.314	-0.468736	-0.175096	0.06253
1531	-3.584378	3.205196	8.458688	30.52	-3.009	13.046	-0.438216	-0.178105	0.075576
1532	-3.28791	2.926496	7.962249	26.337	-2.597	11.809	-0.411879	-0.180702	0.087385
1533	-2.994084	2.64475	7.468977	26.142	-2.578	12.239	-0.385737	-0.18328	0.099624
1534	-2.767073	2.41463	7.090007	20.122	-1.984	9.779	-0.365615	-0.185264	0.109403
1535	-2.491816	2.132819	6.627771	24.495	-2.415	12.334	-0.34112	-0.187679	0.121737
1536	-2.210055	1.827888	6.158265	24.939	-2.458	13.054	-0.316181	-0.190137	0.134791
1537	-1.89757	1.500222	5.633201	27.819	-2.743	14.401	-0.288362	-0.19288	0.149192
1538	-1.443682	1.019847	4.905762	38.637	-4.638	20.619	-0.249725	-0.197518	0.169811
1539	-0.986998	0.605508	4.167876	39.08	-4.714	18.13	-0.210645	-0.202232	0.187941
1540	-0.523818	0.267518	3.423792	39.478	-4.786	13.777	-0.171167	-0.207018	0.201718
1541	-0.402019	0.056411	2.658346	40.525	-4.924	9.558	-0.130642	-0.211942	0.211276
1542	0.631791	-0.240729	2.04757	41.881	-4.199	10.389	-0.088761	-0.216141	0.221665
1543	0.169446	-0.104683	1.372952	32.572	-3.265	2.671	-0.056189	-0.219406	0.224336
1544	-0.182538	0.027786	0.899751	21.091	13.476	-4.868	-0.035098	-0.20593	0.219468
1545	-0.400544	0.092089	0.778589	6.086	12.291	-3.388	-0.029012	-0.193639	0.21608
1546	-0.476051	0.125112	0.785742	-0.304	3.698	-1.335	-0.029316	-0.189941	0.214745
1547	-0.483437	0.142791	0.782654	0.155	2.74	-1.814	-0.029161	-0.187201	0.212931
1548	-0.157182	0.553211	0.618678	3.561	3.374	-2.875	-0.0256	-0.183827	0.210056
1549	-0.014959	0.464869	0.516848	5.876	-1.408	-5.293	-0.019724	-0.185235	0.204763
1550	-0.221978	0.123839	0.48673	6.147	-0.512	-0.755	-0.013577	-0.185747	0.204008
1551	-0.125708	0.005278	0.25076	11.479	-0.955	5.878	-0.002098	-0.186702	0.209886
1552	0	0	0	14.61	-2.151	3.955	0.012512	-0.188853	0.213841
1553	0	0	0	14.92	-2.189	-0.191	0.027432	-0.191042	0.21365
1554	0	0	0	13.218	-1.112	-1.512	0.04065	-0.192154	0.212138
1555	0	0	0	13.81	-1.161	0.806	0.05446	-0.193315	0.212944
1556	0	0	0	15.974	-1.343	1.68	0.070434	-0.194658	0.214624
1557	0	0	0	15.133	-2.237	-1.599	0.085567	-0.196895	0.213025
1558	0	0	0	13.25	-3.061	-3.937	0.098817	-0.199956	0.209088
1559	0	0	0	16.323	-4.325	-4.12	0.11514	-0.204281	0.204968
1560	0	0	0	20.447	-5.715	-3.391	0.135587	-0.209996	0.201577
1561	0	0	0	22.531	-5.972	-0.576	0.158118	-0.215968	0.201001
1562	0	0	0	23.975	-6.179	0.859	0.182093	-0.222147	0.20186
1563	0	0	0	25.956	-6.445	3.827	0.208049	-0.228592	0.205687
1564	0	0	0	25.242	-5.436	3.459	0.233291	-0.234028	0.209146
1565	0	0	0	26.409	-5.611	0.937	0.2597	-0.239639	0.210083
1566	0	0	0	23.154	-4.314	0.077	0.282854	-0.243953	0.21016
1567	0	0	0	24.901	-5.582	2.115	0.307755	-0.249535	0.212275
1568	0	0	0	20.079	-5.167	-0.277	0.327834	-0.254702	0.211998
1569	0	0	0	20.897	-4.223	-2.427	0.348731	-0.258925	0.209571
1570	0	0	0	18.622	-4.028	-5.578	0.367353	-0.262953	0.203993
1571	0	0	0	16.313	-4.918	-7.711	0.383666	-0.267871	0.196282
1572	0	0	0	12.595	-2.381	-6.531	0.396261	-0.270252	0.189751
1573	0	0	0	8.851	-0.906	-5.313	0.405112	-0.271158	0.184438
1574	0	0	0	5.055	-0.517	-4.064	0.410167	-0.271675	0.180374
1575	0	0	0	1.794	-0.184	-2.273	0.411961	-0.271859	0.178101
1576	0	0	0	-0.502	0.051	-0.52	0.411459	-0.271808	0.177581
1577	0	0	0	-1.004	0.103	-1.04	0.410455	-0.271705	0.176541
1578	0	0	0	-1.116	-0.988	-1.039	0.409339	-0.272693	0.175502
1579	0	0	0	-1.734	-2.027	-1.556	0.407605	-0.27472	0.173946
1580	0	0	0	-2.185	-1.976	-0.987	0.40542	-0.276696	0.172959
1581	0	0	0	-4.152	-1.767	-1.968	0.401268	-0.278463	0.170991
1582	0	0	0	-6.015	-0.464	-2.939	0.395253	-0.278927	0.168052
1583	0	0	0	-8.857	0.936	-3.841	0.386396	-0.277991	0.164211
1584	0	0	0	-8.958	0.946	-4.886	0.377438	-0.277045	0.159325
1585	0	0	0	-11.001	1.162	-5.8	0.366437	-0.275883	0.153525
1586	0	0	0	-14.396	2.601	-6.059	0.352041	-0.273282	0.147466
1587	0	0	0	-16.905	4.996	-8.459	0.335136	-0.268286	0.139007
1588	0	0	0	-18.442	7.24	-9.794	0.316694	-0.261046	0.129213
1589	0	0	0	-20.173	10.5	-7.388	0.296521	-0.250546	0.121825
1590	0	0	0	-21.918	12.616	-2.945	0.274603	-0.23793	0.11888
1591	0	0	0	-27.915	12.969	-3.933	0.246688	-0.224961	0.114947
1592	0	0	0	-24.901	12.469	-6.586	0.221787	-0.212492	0.108361
1593	0	0	0	-21.541	10.968	-5.201	0.200246	-0.201524	0.10316
1594	0	0	0	-18.126	10.534	0.617	0.18212	-0.19099	0.103777
1595	0	0	0	-13.496	7.052	3.687	0.168624	-0.183938	0.107464
1596	0	0	0	-12.684	4.937	3.576	0.15594	-0.179001	0.11104
1597	0	0	0	-11.582	1.852	0.98	0.144358	-0.177149	0.11202
1598	0	0	0	-10.719	0.795	-0.078	0.133639	-0.176354	0.111942
1599	0	0	0	-10.758	0.797	-0.067	0.122881	-0.175557	0.111875
1600	0	0	0	-10.462	0.776	-2.51	0.112419	-0.174781	0.109365
1601	0	0	0	-13.317	0.988	-3.678	0.099102	-0.173793	0.105687
1602	0	0	0	-11.13	0.825	-2.862	0.087972	-0.172968	0.102825
1603	0	0	0	-10.602	1.746	-3.347	0.07737	-0.171222	0.099478
1604	0	0	0	-11.661	2.77	-3.203	0.065709	-0.168452	0.096275
1605	0	0	0	-11.779	1.809	-3.157	0.05393	-0.166643	0.093118
1606	0	0	0	-10.505	3.599	-2.281	0.043425	-0.163044	0.090837
1607	0	0	0	-9.774	3.521	0.027	0.033651	-0.159523	0.090864
1608	0	0	0	-11.065	2.648	-0.782	0.022586	-0.156875	0.090082
1609	0	0	0	-10.991	1.693	1.085	0.011595	-0.155182	0.091167
1610	0	0	0	-10.191	2.557	3.329	0.001404	-0.152625	0.094496
1611	-0.150896	-0.054085	0.382218	-10.208	1.617	4.225	-0.008804	-0.151008	0.098721
1612	-0.14339	-0.421734	0.589919	-10.662	0.72	6.524	-0.019466	-0.150288	0.105245
1613	-0.130104	-0.424487	0.691838	-5.108	0.345	5.966	-0.024574	-0.149943	0.111211
1614	-0.24622	-0.12638	0.714987	-1.041	0.07	1.008	-0.025615	-0.149873	0.112219
1615	-0.254344	-0.117383	0.747866	-1.642	0.111	0.605	-0.027257	-0.149762	0.112824
